Album,Acquired,Art,Artist,Genre Section,Genres,"Great if you like: ",Released,Tracks
Minecraft Alpha,2025,albumart/c418_minecraftalpha.jpg,C418,OST,"Soundtrack, Video Game",peaceful ambient piano and soft synths,2011,"A: Subwoofer Lullaby, Living Mice, Moog City, Haggstrom, Minecraft, Clark | B: Mice On Venus, Dry Hands, Wet Hands, Sweden, Cat*, Danny"
Bewitched (Goddess Edition),2025,albumart/laufey_bewitched.jpg,Laufey,Jazz,"Jazz Pop, Modern Classical","cozy, romantic jazz-pop with classical touches",2024,"A: Dreamer, Second Best, Haunted, Must Be Love | B: While You Were Sleeping, Lovesick, California And Me, Nocturne (Interlude), Promise | C: From The Start*, Misty, Serendipity, Letter To My 13 Year Old Self, Bewitched* | D: Bored, Trouble, It Could Happen To You, Goddess"
The Lord of the Rings,2026,albumart/cityofpraguephilharmonic_lotr.jpg,City of Prague Philharmonic Orchestra,OST,"Movie, Orchestral, Soundtrack","sweeping, epic orchestral fantasy",2003,"A: Concerning Hobbits*, The Fellowship*, The Bridge of Khazad Dum*, May It Be | B: The Riders of Rohan*, Evenstar*, Forth Eorlingas / Isengard Unleashed, Hope And Memory / Minas Tirith, Into The West"
Final Fantasy Tactics,2025,albumart/hitoshisakimoto_fft.jpg,Hitoshi Sakimoto,OST,"Soundtrack, Video Game","grand, orchestral tactical RPG drama",1997,"A: Opening*, Prologue*, Trisection*, Unavoidable Battle, Protagonist’s Theme*, A Chapel*, Brave Story, Pressure (No. 1), Apoplexy* | B: Antipyretic*, Under The Stars*, Precipitous Combat*, Ultima’s Transformation, Epilogue, Credits"
Meet the Beatles,2024 (gift),albumart/thebeatles_mtb.jpg,The Beatles,Rock,"Pop, Pop Rock, Rock",joyful early rock and roll,2026,"A: I Want To Hold Your Hand*, I Saw Her Standing There*, This Boy, It Won’t Be Long, All I’ve Got To Do, All My Loving* | B: Don’t Bother Me, Little Child, Till There Was You, Hold Me Tight, I Wanna Be Your Man, Not A Second Time"
Rumours,2026,albumart/fleetwoodmac_rumours.jpg,Fleetwood Mac,Rock,"Pop Rock, Rock, Soft Rock",emotionally raw soft rock,1977,"A: Second Hand News, Dreams*, Never Going Back Again, Don’t Stop, Go Your Own Way*, Songbird | B: The Chain*, You Make Loving Fun*, I Don’t Want To Know, Oh Daddy, Gold Dust Woman"
Exile on Mainstream,2023,albumart/matchboxtwenty_eom.jpg,Matchbox Twenty,Rock,"Alt Rock, Pop Punk, Post-Grunge",radio rock comfort hits,2007,"A: How Far We’ve Come, I’ll Believe You When, All Your Reasons, These Hard Times, If I Fall, Can’t Let You Go* | B: Long Day*, Push, 3 AM*, Real World | C: Back 2 Good, Bent, If You’re Gone* | D: Mad Season*, Disease*, Unwell, Bright Lights*"
Three Cheers for Sweet Revenge,2023,albumart/mcr_tcfsr.jpg,My Chemical Romance,Rock,"Alt Rock, Emo, Pop Punk, Post-Hardcore, Punk Rock","aggressive, dramatic punk-rock energy",2004,"A: Helena*, Give ‘Em Hell Kid*, To The End*, You Know What They Do To Guys Like Us In Prison*, I’m Not Okay (I Promise), The Ghost Of You*, The Jetset Life Is Gonna Kill You | B: Interlude, Thank You For The Venom*, Hang ‘Em High*, It’s Not A Fashion Statement It’s A Deathwish, Cemetery Drive, I Never Told You What I Do For A Living"
The Black Parade,2023,albumart/mcr_tbp.jpg,My Chemical Romance,Rock,"Alt Rock, Emo, Glam Rock, Hard Rock, Pop Punk, Punk Rock",shopping at Hot Topic,2006,"A: The End, Dead*, This Is How I Disappear*, The Sharpest Lives*, Welcome To The Black Parade*, I Don’t Love You, House Of Wolves*, Cancer | B: Mama, Sleep, Teenagers*, Disenchanted*, Famous Last Words*"
The Presidents of the United States of America,2025,albumart/tpotusa_tpotusa.jpg,POTUSA,Rock,Alt Rock,"millions of peaches, peaches for free",1995,"A: Kitty*, Feather Pluckn, Lump*, Stranger, Boll Weevil, Peaches*, Dune Buggy* | B: We Are Not Going To Make It, Kick Out The Jams*, Body, Back Porch, Candy, Naked And Famous"
Greatest Hits,2025,albumart/queen_gh.jpg,Queen,Rock,Rock,"theatrical, genre-spanning classic rock anthems",1981,"A: Bohemian Rhapsody*, Another One Bites The Dust, Killer Queen*, Fat Bottomed Girls* | B: Bicycle Race*, You’re My Best Friend*, Don’t Stop Me Now*, Save Me | C: Crazy Little Thing Called Love*, Somebody To Love*, Now I’m Here, Good Old Fashioned Lover Boy | D: Play The Game, Flash*, Seven Seas of Rhye, We Will Rock You*, We Are The Champions*"
Metal Health,2024 (gift),albumart/quietriot_mh.jpg,Quiet Riot,Rock,"Glam Metal, Hard Rock, Heavy Metal","loud, party-ready 80s glam metal",1983,"A: Metal Health*, Cum On Feel The Noize*, Don’t Wanna Let You Go, Slick Black Cadillac, Love’s A Bitch | B: Breathless, Run For Cover, Battle Axe, Let’s Get Crazy, Thunderbird"
OK Computer,2026,albumart/radiohead_okc.jpg,Radiohead,Rock,"Alt Rock, Art Rock","anxious, atmospheric art-rock",1997,"A: Airbag, Paranoid Android, Subterranean Homesick Alien* | B: Exit Music (For A Film), Let Down, Karma Police* | C: Fitter Happier, Electioneering*, Climbing Up The Walls, No Surprises* | D: Lucky, The Tourist"
A Fever You Can’t Sweat Out,2026,albumart/patd_afycso.jpg,Panic! At The Disco,Rock,"Alt Rock, Baroque Pop, Dance Punk, Electronica, Emo, Pop Punk",songs with titles longer than the actual song,2005,"A: Introduction, The Only Difference Between Martyrdom And Suicide Is Press Coverage*, London Beckoned Songs About Money Written By Machines*, Nails For Breakfast Tacks For Snacks, Camisado*, Time To Dance*, Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off*, Intermission | B: But It’s Better If You Do, I Write Sins Not Tragedies*, I Constantly Thank God For Esteban, There’s A Good Reason These Tables Are Numbered Honey You Just Haven’t Thought Of It Yet, Build God Then We’ll Talk*"
The Legend Of Zelda: Majora’s Mask,2026,albumart/kojikondo_mm.jpg,Koji Kondo,OST,"Soundtrack, Video Game",kid’s games that make you feel things,2000,"A: Title Demo, Opening Theme, Chase Theme, Cave, Majora’s Theme, Clock Tower, Happy Mask Salesman, Clock Town Day 1*, Fairy Fountain*, Mayor’s House Concil Room, Milk Bar* | B: House*, Kamaro’s Dance, Shop*, Fencing Grounds, Get Heart Container, Clock Town Day 3*, Keaton Quiz, Shooting Gallery, Dancer, Minigame, Final Hours, Astral Observatory*, Recollection of Zelda, Ocarina (Song of Time / Song of Healing), Song Of Healing Demo*, Get Ocarina / Get Mask, Ocarina (Inverted Song of Time), Ocarina (Song Of Double Time), Termina Field*, Ocarina (Song Of Soaring), Gale Warp, Dungeon Appears | C: Owl’s Theme, Battle / Game Over, Treasure Box, Catch Item, Catch Small Item, Southern Swamp, Magic Hag’s House, Woods of Mystery, Jungle Cruise, Deku Palace*, Ocarina (Sonata of Awakening), Get Sonato of Awakening, Woodfall Temple, Middle Boss Battle, Woodfall Clear, Giants’ Theme, Ocarina (Oath to Order), Get Oath to Order, Gorman Track, Horse Race / Goal*, Snow Mountain | D: Ocarina (The Elder’s Song), Goron’s Shrine, Ocarina (Goron Lullaby), Get Goron Lullaby, Snowhead Temple, Boss Battle / Boss Clear, Snowhead Clear, Goron Race*, Goron Race Goal*, Song of Frogs, Romani Ranch*, Ocarina (Epona’s Song), Bremen March*, The Monster Raid, Event Clear, Event Failure 1, Cremia’s Wagon, Event Failure 2, Great Bay Coast, Mikau’s Cry / Ending, Marine Research Laboratory, Pirate Fortress*, Zora Hall* | E: Dum Practice Music / Bass / Piano, Practice Music, Bass & Guitar Sessions, Evan’s Piano Solo, Ocarina (New Wave Bossa Nova), Get New Wave Boss Nova*, Great Bay Temple, Zora Band, Ballad of the Wind Fish, Ikana Valley*, Ocarina (Song of the Storm), Sharp’s Curse, Music Box House*, Ikana Castle*, Ocarina (Elegy of Emptiness), Get Elegy of Emptiness, Stone Tower Temple*, Calling the Four Giants, Tatl and Tael Meet Again, Majora’s Mask Moon / Battle*, Majora’s Incarnation Battle*, Majora’s Wrath Battle*, The Moon Disappears, The Giants’ Exit, Staff Roll, Ocarina (Sun’s Song), Fanfare, New Wave Bossa Nova with Lulu*, Intro Woods, Termina Field (Orchestrated), TV Commercial, Our World Awaits You! / Target Promo Remix"
Final Fantasy X -Eternal Calm-,2026,albumart/uematsu_ffx.jpg,Nobuo Uematsu,OST,"Soundtrack, Video Game",,2026,"A: To Zanarkand*, Otherworld*, This Is Your Story, Tidus’ Theme, Besaid*, Blitz Off | B: Enemy Attack, Fight With Seymour*, The Truth Revealed, A Contest of Aeons | C: Hymn of the Fayth, Spira Unplugged*, Yuna’s Theme*, The Sending*, Servants of the Mountain, Via Purifico | D: Yuna’s Decision*, Suteki Da Ne?, A Fleeting Dream*, Ending Theme"
